player_a_id,player_b_id,player_a,player_b,outcome,n_with,n_without,mean_with,mean_without,delta,cohens_d,t_stat,p_value,significant,bh_significant,bh_rank,bh_threshold
20700,15071,lattykk,interz,rating,82,35,0.01107994288327319,-0.025337400313090397,0.03641734319636358,0.2212563939933513,1.1171437759063325,0.26791124072819017,False,False,6733,0.023223647902869758
20700,15071,lattykk,interz,adr,82,35,1.0083128337103198,-2.399620650675226,3.4079334843855458,0.19878902015603112,0.983344305931097,0.32913381945212794,False,False,7509,0.025900248344370866
20700,15071,lattykk,interz,kd_log,82,35,0.02260347742203725,-0.06592105680229514,0.08852453422433239,0.1815813011534602,0.9385085656688054,0.3511642410789321,False,False,7757,0.026755656732891833
15071,21439,interz,icy,rating,35,157,0.06908876322611243,-0.014361449398698857,0.08345021262481128,0.5254730935715611,2.5012227858681504,0.016077444064582037,True,False,1879,0.0064810982339955844
15071,21439,interz,icy,adr,35,157,7.93879646954329,-1.6491907052813952,9.587987174824686,0.5659694933998898,2.569302435362606,0.013704077443528707,True,False,1745,0.006018901766004415
15071,21439,interz,icy,kd_log,35,157,0.16687306444650188,-0.034860938257370536,0.20173400270387243,0.4342827620871017,2.453962582221096,0.017412949200443128,True,False,1941,0.006694950331125828
21439,15071,icy,interz,rating,34,83,-0.026057959639638188,0.010936348592987179,-0.03699430823262537,-0.22477901688966778,-1.1165432322517994,0.2684326152132136,False,False,6743,0.023258140176600443
21439,15071,icy,interz,adr,34,83,-2.1835083303386056,0.878725455688264,-3.0622337860268694,-0.1784689749452801,-0.8695136040652541,0.38800944589168507,False,False,8214,0.028331953642384108
21439,15071,icy,interz,kd_log,34,83,-0.06386209108722563,0.02069348503002887,-0.08455557611725449,-0.17337744866728658,-0.8827353108396598,0.3805569389076826,False,False,8125,0.028024972406181015
23770,15071,cronuss,interz,rating,82,35,0.01107994288327319,-0.025337400313090397,0.03641734319636358,0.2212563939933513,1.1171437759063325,0.26791124072819017,False,False,6736,0.023233995584988964
23770,15071,cronuss,interz,adr,82,35,1.0083128337103198,-2.399620650675226,3.4079334843855458,0.19878902015603112,0.983344305931097,0.32913381945212794,False,False,7507,0.025893349889624724
23770,15071,cronuss,interz,kd_log,82,35,0.02260347742203725,-0.06592105680229514,0.08852453422433239,0.1815813011534602,0.9385085656688054,0.3511642410789321,False,False,7755,0.0267487582781457
23771,15071,oz1k,interz,rating,82,35,0.01107994288327319,-0.025337400313090397,0.03641734319636358,0.2212563939933513,1.1171437759063325,0.26791124072819017,False,False,6734,0.02322709713024283
23771,15071,oz1k,interz,adr,82,35,1.0083128337103198,-2.399620650675226,3.4079334843855458,0.19878902015603112,0.983344305931097,0.32913381945212794,False,False,7512,0.025910596026490068
23771,15071,oz1k,interz,kd_log,82,35,0.02260347742203725,-0.06592105680229514,0.08852453422433239,0.1815813011534602,0.9385085656688054,0.3511642410789321,False,False,7758,0.0267591059602649
15072,19536,nin9,yami,rating,24,34,0.016012655355883875,-0.011632304049674514,0.02764495940555839,0.17411480802888737,0.6300718563854242,0.5319855235802506,False,False,9707,0.03348165011037528
15072,19536,nin9,yami,adr,24,34,2.3706010660383785,-1.686589415327002,4.057190481365381,0.23173407135721197,0.8547453615600411,0.3970661525418222,False,False,8309,0.02865963024282561
15072,19536,nin9,yami,kd_log,24,34,0.09591539449697706,-0.0693479002751284,0.16526329477210544,0.36944942969250477,1.3770361217055678,0.17481855206102928,False,False,5376,0.018543046357615896
19536,15072,yami,nin9,rating,24,51,-0.008705167432076381,0.006249880221604148,-0.014955047653680529,-0.09316186040411431,-0.3709774136116658,0.7124523209881655,False,False,11634,0.04012831125827815
19536,15072,yami,nin9,adr,24,51,-0.4616583983704789,0.45957274993358455,-0.9212311483040634,-0.0508691282552978,-0.20431973377503893,0.8390352682712922,False,False,12852,0.0443294701986755
19536,15072,yami,nin9,kd_log,24,51,0.06523893758396752,-0.033365857859547036,0.09860479544351455,0.20740154831115237,0.8248306361660604,0.413975461133873,False,False,8480,0.02924944812362031
15072,20703,nin9,xerolte,rating,71,23,0.003784693744594789,-0.004558337355668642,0.00834303110026343,0.04230293698134325,0.19563875164501723,0.8457685432009631,False,False,12921,0.04456746688741722
15072,20703,nin9,xerolte,adr,71,23,0.21498221960186034,0.15058807909229383,0.06439414050956652,0.003181771587323041,0.014406855098627125,0.988571462890902,False,False,14374,0.049579194260485654
15072,20703,nin9,xerolte,kd_log,71,23,0.009021661488109935,-0.026969178809263382,0.03599084029737332,0.08724010830465362,0.3754557114943554,0.7093337396621964,False,False,11602,0.040017935982339964
15117,15369,keoz,redstar,rating,51,189,-0.012041218931285994,0.0027016877879838933,-0.014742906719269887,-0.07999456928067035,-0.5420671714232606,0.5891553476733968,False,False,10265,0.035406318984547464
15117,15369,keoz,redstar,adr,51,189,-1.3283785351374593,0.2908434245780834,-1.6192219597155426,-0.08241608676570521,-0.5424423630926888,0.5889603777014139,False,False,10257,0.03537872516556292
15117,15369,keoz,redstar,kd_log,51,189,0.03397658846068495,-0.011414213071565135,0.045390801532250086,0.09795217709031195,0.6154011971278515,0.5400769608537104,False,False,9782,0.03374034216335541
15369,15117,redstar,keoz,rating,51,85,-0.009118358825578592,0.005467999920214618,-0.014586358745793209,-0.09453449319659346,-0.5784168963186719,0.5639867583679015,False,False,10029,0.03459230132450331
15369,15117,redstar,keoz,adr,51,85,-1.5739380914619425,0.9758629960754083,-2.5498010875373507,-0.1549378058425787,-0.9397498769379797,0.3491216166049052,False,False,7723,0.026638383002207507
15369,15117,redstar,keoz,kd_log,51,85,-0.08516225701006049,0.05304521726510988,-0.13820747427517036,-0.32480605307667043,-1.9319871706076777,0.05567379415412249,False,False,3201,0.011040976821192053
15117,16147,keoz,cptkurtka023,rating,41,223,0.07802820851603594,-0.013693485634679432,0.09172169415071538,0.4762633549653647,2.395605242430328,0.020399300017101357,True,False,2086,0.007195088300220751
15117,16147,keoz,cptkurtka023,adr,41,223,8.585645416518647,-1.517192932842839,10.102838349361486,0.5051564944051333,2.4698528398593416,0.017054040165130912,True,False,1917,0.006612168874172185
15117,16147,keoz,cptkurtka023,kd_log,41,223,0.046611956968542166,-0.006945291547584749,0.053557248516126914,0.11382472296087523,0.5492090261992494,0.5853794028593623,False,False,10236,0.03530629139072848
16147,15117,cptkurtka023,keoz,rating,41,95,0.05649573105133292,-0.02438506610516753,0.08088079715650046,0.5396861600831702,2.638926981826601,0.010473655850361096,True,False,1543,0.005322157836644591
16147,15117,cptkurtka023,keoz,adr,41,95,6.995241795213743,-2.990814753704346,9.98605654891809,0.6302341851929703,3.0406785435143218,0.0034703868680731023,True,False,982,0.003387141280353201
