player_a_id,player_b_id,player_a,player_b,n_sig_outcomes,outcomes_significant,max_t,min_p,n_bh_sig_outcomes,delta_adr,delta_kd_log,delta_rating
20104,18838,s1n,hext,1,kd_log,2.072816219987124,0.042138171200299286,0,1.3353479621381747,0.20280145374334763,-0.0061758925238711015
22921,18838,lake,hext,1,kd_log,2.072816219987124,0.042138171200299286,0,1.3353479621381747,0.20280145374334763,-0.0061758925238711015
21439,16948,icy,travis,1,rating,2.067560770400935,0.04189674733185108,0,4.970563026635855,0.04380849816990726,0.05209283343276981
12004,20357,clax,d1ledez,1,rating,2.067032899919019,0.04046365116813492,0,4.221187708971208,0.05791954130818167,0.04896211772716469
20430,17508,alpha,glowiing,1,adr,2.0659254438638084,0.039973061987807,0,4.149252101811169,0.03518642502117851,0.03450943807029052
22563,21217,fnl,ryu,1,rating,2.063692531449463,0.04181335904200783,0,4.0356445985289175,0.08284887349962078,0.04705366300685497
17008,16885,topa,woro2k,1,kd_log,2.0585789244111203,0.040617404709489886,0,3.801190691847612,0.1207681356729241,0.019693939337160224
23414,16885,jackasmo,woro2k,1,kd_log,2.0585789244111203,0.040617404709489886,0,3.801190691847612,0.1207681356729241,0.019693939337160224
22537,11940,def1zer,nealan,1,adr,2.057928720839481,0.04173157698676206,0,6.089290451336367,0.0986918006943904,0.05322492167684432
23292,11940,pump,nealan,1,adr,2.057928720839481,0.04173157698676206,0,6.089290451336367,0.0986918006943904,0.05322492167684432
14273,16948,idisbalance,travis,1,rating,2.0551779359514186,0.04471904616265241,0,5.280449123658266,0.04176762695869093,0.05701002314227986
21431,16948,sstinix,travis,1,rating,2.0551779359514186,0.04471904616265241,0,5.280449123658266,0.04176762695869093,0.05701002314227986
20385,12553,kye,yuurih,1,rating,2.0520082788177687,0.045433686893262555,0,6.58234449060384,0.006890914115039276,0.0658322442767662
22921,16599,lake,swisher,1,rating,2.046099854319311,0.04329869304380623,0,5.12013832765367,0.001966181168849826,0.06238824970180222
20245,19310,samey,lnz,1,kd_log,2.044218355640566,0.041997083147891884,0,2.3698430881790165,0.11693065064497402,0.02819601671000007
11213,18891,delboni,cutzmeretz,1,kd_log,2.043446802319767,0.0421597000009736,0,4.200449179770633,0.12431189227848821,0.03782257708035111
11329,17133,leo-drk,desh,1,kd_log,2.040018667686968,0.044131767227890965,0,6.5697059233750235,0.17130798096790967,0.05195787882131993
20394,20185,luchov,cass1n,1,rating,2.037847853948178,0.042982786855597595,0,4.779029918326025,0.03956460462779289,0.05271697705431126
20119,21164,nilo,l00m1,1,kd_log,2.0308015862044497,0.04411382210101696,0,2.03096912158254,0.1532311479145595,0.014164879727198952
19874,20422,masval,owner,1,kd_log,2.029336136793239,0.04767428316995912,0,7.220584375584977,0.20237191477580585,0.06381332530358516
19738,21969,djoko,graviti,1,adr,2.029315441989228,0.043432698712232376,0,4.169057948202861,0.08972242799795138,0.03322716280758864
21199,16723,mistr,cabbi,1,adr,2.0262646298116955,0.04352026628494859,0,4.137034775684966,0.0723649637782057,0.03469916999668443
23045,2544,lukiz,remix,1,kd_log,2.025392184621611,0.04751727441213251,0,7.5528078208640785,0.20841104931414461,0.059507483080879574
19065,14218,shine,plopski,1,adr,2.0252353893234076,0.04548054516186178,0,6.553737586217154,0.05991033155008767,0.04972771444775992
18571,13670,cypher,nawwk,1,adr,2.02390166097711,0.04431782568391861,0,4.368221892863032,0.06906938107290402,0.03335910753334139
19236,22884,kensi,gr1ks,1,kd_log,2.022240147845682,0.04393685539072184,0,1.9482312305948588,0.10071194713736731,0.011933046207065711
19673,22884,patsi,gr1ks,1,kd_log,2.022240147845682,0.04393685539072184,0,1.9482312305948588,0.10071194713736731,0.011933046207065711
19882,22884,norwi,gr1ks,1,kd_log,2.022240147845682,0.04393685539072184,0,1.9482312305948588,0.10071194713736731,0.011933046207065711
20026,22366,chayjesus,nicks,1,kd_log,2.021709913860228,0.04663800392620128,0,6.350896054249072,0.19318486641976318,0.04724236111114692
16080,21816,dycha,gizmy,1,adr,2.0174840719874347,0.047984207749184556,0,5.513785044737358,0.09800794878065215,0.04061875362633521
21779,11995,nut-nut,tmb,1,rating,2.017024018757962,0.04872023969187098,0,3.8633893952383667,-0.003894337309890155,0.056163906483646026
20301,16753,tauson,n1xen,1,kd_log,2.016299363975666,0.04809334732703744,0,1.2694204941945493,0.16353300429179596,0.006865506638632976
21452,11630,kvem,jt,1,rating,2.014199841978932,0.047659942731684515,0,5.114333401604425,0.013620010776446128,0.055345268831925164
9482,21099,nekiz,bsd,1,adr,2.011831548883895,0.045947240774620285,0,6.017990620476477,0.10112859916095898,0.053928557780347594
11739,21099,shz,bsd,1,adr,2.011831548883895,0.045947240774620285,0,6.017990620476477,0.10112859916095898,0.053928557780347594
17861,21099,jota,bsd,1,adr,2.011831548883895,0.045947240774620285,0,6.017990620476477,0.10112859916095898,0.053928557780347594
8212,20625,scrunk,banjo,1,rating,2.00712468137643,0.04669073702064357,0,5.186093944615728,0.1169034699356348,0.055704598401907696
11140,4679,ins,jks,1,adr,2.0056017359576,0.04929997149636109,0,7.967572983038712,0.0008086146252210258,0.06230919909117573
17384,4679,vexite,jks,1,adr,2.0056017359576,0.04929997149636109,0,7.967572983038712,0.0008086146252210258,0.06230919909117573
18214,4679,nettik,jks,1,adr,2.0056017359576,0.04929997149636109,0,7.967572983038712,0.0008086146252210258,0.06230919909117573
20123,4679,regali,jks,1,adr,2.0056017359576,0.04929997149636109,0,7.967572983038712,0.0008086146252210258,0.06230919909117573
13239,19235,qikert,belchonokk,1,rating,2.005096519247259,0.046686383049626703,0,4.558387477160759,-0.056273612630784134,0.046554245684194084
20283,20284,tomiko,maaryy,1,kd_log,2.004345473486712,0.04610396438690135,0,3.7897511949708798,0.10907835236596819,0.032319671880582344
15573,18294,ciocardau,adron,1,adr,2.0026007068087512,0.04917255236055211,0,7.637161436637628,0.14467472995608943,0.06336740439020919
20083,17133,ninjaz,desh,1,adr,2.0005448588478614,0.047335019404824874,0,6.403635375462322,0.13260781925849893,0.052017602203675226
22109,17133,vinaabeast,desh,1,adr,2.0005448588478614,0.047335019404824874,0,6.403635375462322,0.13260781925849893,0.052017602203675226
19711,18706,snav,freshie,1,kd_log,1.9977278527866325,0.04901274235100323,0,7.759676122947305,0.18748172186473533,0.06497921600445802
7964,8520,cadian,naf,1,kd_log,1.997180017704212,0.04805414088962509,0,4.6400287905785715,0.12448543127378897,0.042348086567525686
18676,8520,skullz,naf,1,kd_log,1.997180017704212,0.04805414088962509,0,4.6400287905785715,0.12448543127378897,0.042348086567525686
17028,22084,abr,mello,1,kd_log,1.9969864945771545,0.04975226666167981,0,1.8766993447258127,0.16787872109873164,0.0007851287442922821
20519,22362,lcm,xureba,1,rating,1.9901815679421544,0.04852294019926965,0,5.584117557852865,0.01120738895593888,0.054143751395882976
20522,22362,gbb,xureba,1,rating,1.9901815679421544,0.04852294019926965,0,5.584117557852865,0.01120738895593888,0.054143751395882976
22040,22930,z1nny,tex1y,1,rating,1.9766159146166364,0.049696013423683204,0,5.067766364041105,0.08303817638989383,0.0503617512956448
20709,19882,r3salt,norwi,1,adr,1.9719696870065642,0.04924759764198591,0,3.190035734764356,0.05728716146700251,0.027369682772585974
21062,7528,matys,krimz,1,rating,-1.9834959576391396,0.049093715454941886,0,-3.628431319583537,-0.033678021260631325,-0.034996014460338995
22075,21431,sfade8,sstinix,1,adr,-1.983542240219349,0.048386739194112016,0,-4.298997330394238,0.055788672673669236,-0.02920465945499859
21665,22135,jba,peeping,1,adr,-1.9885283651222174,0.04914780816882891,0,-7.879446603171116,-0.14089346962141602,-0.0680316607409743
16885,20282,woro2k,krasnal,1,kd_log,-1.995514276515212,0.04793997394637809,0,-3.5899720035367273,-0.12071439006293586,-0.04013630162148424
21763,8520,ultimate,naf,1,kd_log,-1.997180017704212,0.04805414088962509,0,-4.6400287905785715,-0.12448543127378897,-0.042348086567525686
15176,18706,cryptic,freshie,1,kd_log,-1.9977278527866325,0.04901274235100323,0,-7.759676122947305,-0.18748172186473533,-0.06497921600445802
16848,21217,hades,ryu,1,kd_log,-1.9983496705744839,0.04755766159418615,0,-2.459458076623509,-0.10882628775882372,-0.031188627075731157
8520,4679,naf,jks,1,adr,-2.0056017359576,0.04929997149636109,0,-7.967572983038712,-0.0008086146252210258,-0.06230919909117573
10394,4679,twistzz,jks,1,adr,-2.0056017359576,0.04929997149636109,0,-7.967572983038712,-0.0008086146252210258,-0.06230919909117573
21763,4679,ultimate,jks,1,adr,-2.0056017359576,0.04929997149636109,0,-7.967572983038712,-0.0008086146252210258,-0.06230919909117573
14932,10981,faven,mantuu,1,rating,-2.014330650597564,0.04545082798869739,0,-4.028579951903059,-0.01922237079179548,-0.04543327965956876
21159,10981,bobeksde,mantuu,1,rating,-2.014330650597564,0.04545082798869739,0,-4.028579951903059,-0.01922237079179548,-0.04543327965956876
23338,20090,beccie,zyphon,1,adr,-2.016049439705585,0.044630692122074454,0,-4.03666419737042,-0.05241081615204642,-0.03550802558912289
15165,19926,blamef,afro,1,adr,-2.019943346295515,0.04593091475447882,0,-4.70786666143092,-0.08092956178485342,-0.03383040967240443
21165,15821,m1key,neofrag,1,kd_log,-2.0205664483960835,0.04857230916809821,0,-6.680799424251079,-0.19685554300554384,-0.06803024930308951
19230,10096,m0nesy,hooxi,1,adr,-2.0248739876661217,0.0450579496835033,0,-5.441194605892705,-0.10802902762754749,-0.052312220716012256
8374,21969,bodyy,graviti,1,adr,-2.029315441989228,0.043432698712232376,0,-4.169057948202861,-0.08972242799795138,-0.03322716280758864
17937,21164,isak,l00m1,1,kd_log,-2.0308015862044497,0.04411382210101696,0,-2.03096912158254,-0.1532311479145595,-0.014164879727198952
21165,21113,m1key,modo,1,rating,-2.0315203980782326,0.04971910150135339,0,-6.731076585027035,-0.11047024824267086,-0.06854551042307275
20948,23048,lov1kus,kelien,1,rating,-2.037855969652641,0.04939215021622815,0,-7.000845911652707,-0.13296193316548224,-0.07522134368306002
21710,23048,notineki,kelien,1,rating,-2.037855969652641,0.04939215021622815,0,-7.000845911652707,-0.13296193316548224,-0.07522134368306002
22879,23048,fenomen,kelien,1,rating,-2.037855969652641,0.04939215021622815,0,-7.000845911652707,-0.13296193316548224,-0.07522134368306002
13843,21199,lucky,mistr,1,adr,-2.0412937411620393,0.046866536054762625,0,-6.461311775038389,-0.07798095291059055,-0.056823930757295776
20309,21250,bnox,jresy,1,adr,-2.04168450867308,0.04694799688161036,0,-7.204437876940761,-0.09201909360861982,-0.0617017700184052
21142,21250,masked,jresy,1,adr,-2.04168450867308,0.04694799688161036,0,-7.204437876940761,-0.09201909360861982,-0.0617017700184052
21155,19872,naz,bk1,1,rating,-2.0458099531509664,0.04243209629357918,0,-5.590485936584425,0.009349685102770304,-0.05498537545855826
11617,16599,malbsmd,swisher,1,rating,-2.046099854319311,0.04329869304380623,0,-5.12013832765367,-0.001966181168849826,-0.06238824970180222
19763,17675,boros,m1n1,1,rating,-2.048713873735495,0.04244844506756494,0,-4.076549640171226,0.016915473380701075,-0.051802534318915086
12027,17011,krad,shalfey,1,rating,-2.0494269883588734,0.04182898924662434,0,-4.74867230853438,0.006567537191008782,-0.04780148365895792
22039,19575,danistzz,x5g7v,1,kd_log,-2.050852564387986,0.04277298371143736,0,-4.306322250579181,-0.14725177479193566,-0.04102819914355503
16486,20301,ztr,tauson,1,adr,-2.0522333718562935,0.04329093821118582,0,-5.668754208981028,-0.08990465145557078,-0.046354031131353085
7398,11777,dupreeh,maden,1,adr,-2.0523910895256683,0.041562921004131274,0,-4.992441654966252,-0.06918452184701905,-0.043303132346806335
22563,19817,fnl,s0und,1,kd_log,-2.053400380468977,0.04110389080478079,0,-1.5165909594556062,-0.09442748080194956,-0.0018720724075135698
15821,12810,neofrag,shock,1,rating,-2.053468310989687,0.04711545323782489,0,-5.784688259844739,-0.11216566779395314,-0.06063355767206527
9216,21288,coldzera,venomzera,1,rating,-2.054082606422224,0.041251526369591146,0,-4.757602150500766,-0.01344532302451268,-0.052532736831004026
