player_col,rapm_score,hltv_player_id,hltv_slug,player_name,label,maps,avg_rating,avg_adr,avg_kd_log,win_rate,rapm_rank,rating_rank,adr_rank,kd_rank,winrate_rank,delta_rating,delta_adr,delta_kd,rapm_score_z,avg_rating_z,avg_adr_z,avg_kd_log_z,flag_high_rating_low_rapm,flag_low_rating_high_rapm
p_13287,0.8377672257382351,13287,bnc,bnc,bnc,141,0.7315602836879433,73.5836879432624,-0.1041974237877665,0.524822695035461,286.0,409.0,399.0,628.0,329.0,123.0,113.0,342.0,0.4413674413948563,0.048024328151290076,0.07436061344858197,-0.6109605814678123,False,False
p_18571,0.8359394758345612,18571,cypher,cypher,cypher,315,0.7632571428571429,77.00888888888889,-0.04670863749342653,0.5904761904761905,287.0,203.0,186.0,473.0,90.0,-84.0,-101.0,186.0,0.4383031712195484,0.6892763366441708,0.7421291036928521,-0.11007413132424027,False,False
p_5351,0.833298012143548,5351,avn,avn,avn,477,0.6583920335429769,65.13354297693921,-0.11443486981245268,0.5157232704402516,288.0,788.0,801.0,662.0,371.0,500.0,513.0,374.0,0.4338746887497859,-1.432226037126594,-1.5730582200980654,-0.700157072268425,False,False
p_22878,0.8328185591915742,22878,senka,senka,senka,90,0.7355222222222223,71.53333333333333,-0.18888160691168462,0.6444444444444445,289.0,381.0,532.0,772.0,24.0,92.0,243.0,483.0,0.43307087342568523,0.12817741300647573,-0.32537132172034583,-1.3487942113356204,False,False
p_24568,0.832818559191574,24568,flouzer,flouzer,flouzer,90,0.7792555555555555,78.42444444444445,0.02901089293120554,0.6444444444444445,290.0,128.0,127.0,236.0,24.0,-162.0,-163.0,-54.0,0.43307087342568484,1.0129366154368404,1.0181022250354688,0.5496525605343813,False,False
p_21164,0.8301289602143785,21164,l00m1,l00m1,l00m1,155,0.6710322580645162,68.02967741935484,0.017012094022917052,0.5032258064516129,291.0,754.0,724.0,273.0,436.0,463.0,433.0,-18.0,0.4285616908986925,-1.176504505886857,-1.008435193637179,0.44510981092077695,False,False
p_14744,0.8299520170491466,14744,calamity,calamity,calamity,50,0.82218,81.476,-0.11414916273651776,0.52,292.0,26.0,45.0,661.0,347.0,-266.0,-247.0,369.0,0.4282650410874382,1.881331369204372,1.6130257575749984,-0.6976677728368239,False,False
p_11199,0.8244900533097256,11199,beastik,beastik,beastik,443,0.7066568848758464,69.83747178329571,-0.11314936642421958,0.5214446952595937,293.0,567.0,638.0,657.0,343.0,274.0,345.0,364.0,0.4191079170456435,-0.455790716150453,-0.655992188907103,-0.6889567796499148,False,False
p_22956,0.8233269082446489,22956,lash,lash,lash,79,0.7471139240506329,75.4,0.11202743507917792,0.43037974683544306,294.0,312.0,288.0,86.0,710.0,18.0,-6.0,-208.0,0.41715787414026206,0.36268651814020797,0.4284642059659233,1.272956421687318,False,False
p_22471,0.8228751078706618,22471,xielo,xielo,xielo,330,0.8066,81.49757575757576,0.024044020530741388,0.5666666666666667,295.0,47.0,44.0,254.0,160.0,-248.0,-251.0,-41.0,0.41640041908121983,1.5661359033385527,1.6172321125570728,0.5063773542663805,False,False
p_18875,0.8178627577539914,18875,ricioli,ricioli,ricioli,192,0.660578125,65.76041666666667,-0.22341689573942428,0.4583333333333333,296.0,782.0,787.0,803.0,626.0,486.0,491.0,507.0,0.4079970839532352,-1.387999713941634,-1.4508445152648746,-1.6496921662349147,False,False
p_22279,0.8158628233315796,22279,pr,pr,pr,287,0.7932508710801394,79.59895470383276,0.055652764690518476,0.5226480836236934,297.0,81.0,84.0,175.0,336.0,-216.0,-213.0,-122.0,0.4046441419610897,1.2960726871127286,1.2470817667145009,0.7817770048108534,False,False
p_9436,0.8154264874492348,9436,nertz,nertz,nertz,257,0.7808015564202334,79.19105058365759,0.025632826871391706,0.5214007782101168,298.0,121.0,104.0,251.0,344.0,-177.0,-194.0,-47.0,0.4039126135238577,1.0442134102231766,1.1675578138668312,0.5202202551037616,False,False
p_21379,0.8100845675027203,21379,salazar,salazar,salazar,200,0.64657,64.946,-0.032825041125806066,0.395,299.0,810.0,804.0,430.0,776.0,511.0,505.0,131.0,0.3949567460180883,-1.6713949312254357,-1.609621123283796,0.010890421035569614,False,False
p_16947,0.8093717087632957,16947,perfecto,perfecto,perfecto,68,0.6888676470588235,67.86176470588236,-0.012255860573778905,0.4117647058823529,300.0,672.0,734.0,363.0,748.0,372.0,434.0,63.0,0.3937616198303995,-0.8156807739896297,-1.0411710304386677,0.19010491647329023,False,False
