player_col,rapm_score,hltv_player_id,hltv_slug,player_name,label
p_20960,-0.5858217325169477,20960,ex1st,ex1st,ex1st
p_23552,-0.5920335900799044,23552,slashzz,slashzz,slashzz
p_21692,-0.6096415925105294,21692,kalash,kalash,kalash
p_22404,-0.6120805039955555,22404,cerolzin,cerolzin,cerolzin
p_6553,-0.6180518459482149,6553,fl4sh,fl4sh,fl4sh
p_9220,-0.6188257696853464,9220,shoowtime,shoowtime,shoowtime
p_24328,-0.6205073258749575,24328,lukita,lukita,lukita
p_22459,-0.6372744317492279,22459,sh1nejezzz,sh1nejezzz,sh1nejezzz
p_23193,-0.6611493131226699,23193,vilby,vilby,vilby
p_19290,-0.6713170330961505,19290,voltera,voltera,voltera
p_10508,-0.6841793195401827,10508,nbl,nbl,nbl
p_23599,-0.7031968902020946,23599,forkyz,forkyz,forkyz
p_20330,-0.7128080809394092,20330,jsfeltner,jsfeltner,jsfeltner
p_20577,-0.7131439116319368,20577,bruninho,bruninho,bruninho
p_20207,-0.7519912379731014,20207,raijin,raijin,raijin
p_24083,-0.7685256189915463,24083,mail09,mail09,mail09
p_21036,-0.7696574059460841,21036,krok,krok,krok
p_8327,-0.7867389331189298,8327,furlan,furlan,furlan
p_22957,-0.8195237639213239,22957,stax,stax,stax
p_22945,-0.8282169921844776,22945,tr0uble,tr0uble,tr0uble
p_23961,-0.8566587712628759,23961,legy,legy,legy
p_15204,-0.8996992919275163,15204,vegi,vegi,vegi
p_24646,-0.9780648406058671,24646,ddoni,ddoni,ddoni
p_11276,-1.0040328144320463,11276,marko,marko,marko
p_9811,-1.1051264242466743,9811,plessen,plessen,plessen
p_24672,-1.1662055975499965,24672,fakerealityy,fakerealityy,fakerealityy
p_25032,-1.3880759099591615,25032,snow,snow,snow
p_22302,-2.0137876486657493,22302,empathy,empathy,empathy
